Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,IND,NBA,SG,82,1,22.4,3.7,7.6,0.488,0.7,2.1,0.355,3,5.5,0.538,0.537,1.8,2.3,0.801,1.2,1.2,2.3,1.6,0.6,0.2,1.2,1.9,10
1988-89,23,IND,NBA,SG,74,70,34.3,5.4,11.2,0.479,1.3,3.3,0.402,4.1,7.9,0.511,0.538,3.9,4.6,0.844,1,3,3.9,3.1,1.3,0.4,1.9,2.3,16
1989-90,24,IND,NBA,SG,82,82,38.9,8.1,15.7,0.514,1.8,4.4,0.414,6.2,11.3,0.552,0.572,6.6,7.6,0.868,1.2,2.4,3.6,3.8,1.3,0.2,2.7,2.1,24.6
1990-91,25,IND,NBA,SG,82,82,36.2,7.3,14.2,0.512,1.4,3.9,0.348,5.9,10.3,0.575,0.56,6.7,7.3,0.918,1,2.4,3.4,4,1.3,0.2,2,2,22.6
1991-92,26,IND,NBA,SG,82,82,38,6.9,13.7,0.501,1.6,4.2,0.378,5.3,9.5,0.555,0.559,5.4,6.3,0.858,1,2.9,3.9,3.8,1.3,0.3,1.9,2.6,20.7
1992-93,27,IND,NBA,SG,82,82,36,7,14.5,0.479,2,5.1,0.399,4.9,9.4,0.522,0.549,5.2,5.9,0.88,0.8,2.3,3.1,3.2,1.5,0.3,1.8,2.2,21.2
1993-94,28,IND,NBA,SG,79,79,33.4,6.6,13.2,0.503,1.6,3.7,0.421,5.1,9.5,0.535,0.562,5.1,5.6,0.908,0.4,2.3,2.7,3.1,1.5,0.3,2.2,2.4,19.9
1994-95,29,IND,NBA,SG,81,81,32.9,6.2,13.5,0.462,2.4,5.8,0.415,3.8,7.7,0.498,0.552,4.7,5.3,0.897,0.4,2.2,2.6,3,1.2,0.2,1.9,1.9,19.6
1995-96,30,IND,NBA,SG,76,76,34.5,6.6,14,0.473,2.2,5.4,0.41,4.4,8.6,0.512,0.552,5.7,6.6,0.863,0.5,2.3,2.8,3.3,1,0.2,2.5,2.3,21.1
1996-97,31,IND,NBA,SG,81,81,36.6,6.8,15.4,0.444,2.8,6.6,0.427,4,8.7,0.456,0.536,5.2,5.9,0.88,0.7,2.9,3.5,3.4,0.9,0.3,2,2.1,21.6
1997-98,32,IND,NBA,SG,81,81,34.5,6.4,13.3,0.477,2,4.7,0.429,4.3,8.6,0.504,0.553,4.7,5.4,0.868,0.6,2.3,2.9,2.1,1,0.1,1.6,1.8,19.5